A,0,1,2,3,4,5,6,7,8,9,label
74,0.06190827,-0.05916629,0.049908046,0.0685974,0.07701903,0.05285252,-0.11043679,-0.03640628,0.029958334,0.08157858,hold
75,0.06087754,0.015282651,0.024264237,0.025986884,0.0745289,-0.053872637,-0.052157264,-0.064462356,0.001576351,-0.06447488,hold
76,0.08601928,-0.110651284,0.011406034,0.028244238,0.03665729,0.005442764,-0.2037393,0.035345424,-0.20693511,-0.01601987,hold
77,0.025719669,-0.020181412,-0.011721977,-0.015841853,0.050268225,-0.01386109,-0.006449328,0.045640893,6.99E-05,-0.024350408,hold
78,0.001735254,-0.010123674,0.016326232,0.03580669,-0.012399554,0.002132705,-0.000894371,0.03536152,0.044660337,-0.005448291,hold
79,0.03926899,-0.05726964,0.043183,0.037820473,0.05717972,0.05732768,-0.000826268,0.030366283,-0.010736026,-0.00600653,hold
80,0.12843028,-0.032309946,0.018384695,0.080723055,0.0653344,0.006104223,-0.013428521,0.08821946,0.002975108,0.028245477,hold
81,0.072495475,-0.06485848,-0.013077934,0.016146488,0.025939876,0.04386763,-0.028109675,0.012971379,-0.041474734,-0.040737063,hold
82,0.06548966,-0.026302151,0.057782274,-0.018730283,0.061119005,-0.014847897,-0.025183493,-0.001505413,-0.070456415,0.05110982,hold
83,0.083640814,-0.060353547,0.060346764,-0.007128665,-0.01349483,0.04474347,0.000944316,0.019406725,-0.067236274,-0.002015037,hold
84,0.12711614,-0.0664413,0.001510463,0.006559141,0.08304113,0.024879355,-0.038311392,0.01571753,-0.009074811,-0.022527996,hold
85,0.04528548,-0.035564035,-0.016999424,0.003131026,0.019428749,0.009919238,-0.020612678,-0.006448329,-0.037387896,0.008373949,hold
86,0.04738968,-0.057132155,0.005729222,-0.022849495,-0.020414416,-0.05160086,-0.043123115,0.06617552,0.000400854,0.03373586,hold
87,0.049329534,-0.04143287,-0.000190968,0.094946146,0.021382798,0.004139091,-0.069728754,0.052458264,-0.003169077,0.04557222,hold
88,0.10095113,-0.06275589,0.024707785,0.040409062,0.0336663,-0.06562042,0.045471124,-0.049835075,0.1153028,-0.003171323,hold
89,0.12552927,-0.060238138,-0.005395855,0.021202506,0.025578836,-0.014031565,-0.01169461,0.020499337,0.018828725,0.047338076,hold
90,0.08519331,-0.03445779,0.05481049,0.043430723,-0.036880575,-0.03350588,-0.000240082,-0.0496045,0.018041832,0.009767809,hold
91,0.10903499,-0.05053965,0.021887232,0.062720776,0.061677642,0.05029401,0.010814598,-0.012896837,0.058502384,0.06233734,hold
92,0.095916264,-0.11370968,0.068366565,0.116051964,0.059737597,0.035889946,-0.009719297,-0.050643917,-0.028623877,-0.05426541,hold
93,-0.002427486,-0.000872172,0.02020018,0.010743259,-0.024174932,-0.043624047,-0.052806497,0.04341864,-0.006863648,0.035316512,hold
94,-0.018395208,0.03127497,0.033556983,0.0404115,-0.026380675,-0.017589437,-0.001875761,0.019572413,-0.059398286,-0.046019,hold
95,0.17383878,-0.030547386,0.056936085,0.12206331,-0.000269151,0.03857074,-0.010471844,-0.011745169,0.057616953,0.05742033,hold
96,0.31689018,-0.10305304,0.08236027,-0.020615347,0.082358725,0.025789887,-0.09501462,-0.06339884,-0.014834574,0.09662019,hold
97,0.031466857,0.006205261,-0.014230945,-0.024736762,0.034858417,0.001353674,0.04264524,0.026840495,-0.009304778,-0.037540168,hold
98,0.03152919,-0.07204507,-0.017608304,0.049293455,-0.002838587,0.000785443,0.000119461,0.03818622,-0.050655518,0.0720455,hold
99,0.07823022,-0.093585104,0.11216053,0.09912287,0.05800581,0.033630975,-0.080677174,-0.013929956,-0.066516064,0.069858626,hold
100,0.093605064,-0.067710906,0.05746478,0.055115685,0.03837362,-0.050668582,-0.11139175,-0.007362396,-0.061420906,-0.009881696,hold
101,0.12291317,-0.020468963,-0.036464334,0.0629931,0.003169079,0.027825583,-0.02951093,0.022734918,-0.05138674,-0.00641061,hold
102,0.043865547,0.010120005,-0.020015445,0.015555978,-0.03095038,0.028808145,-0.000213667,0.001845619,0.010623759,0.03358394,hold
103,0.041233346,-0.04935037,-0.01950892,0.06960104,-0.08722525,-0.07176089,-0.052975025,-0.058845736,-0.040181503,0.047222003,hold
104,-0.019521926,0.011595123,0.017226778,-0.023639115,0.013022562,0.011869528,-0.015558066,-0.003793313,0.03247899,0.019593554,hold
105,-0.03600417,0.018337734,0.00846643,-0.03462575,0.00780231,-0.002436741,-0.014023749,0.001432174,0.041678607,0.021162922,hold
106,0.013822706,-0.020279337,0.038322885,-0.005667815,0.010615938,-0.012677578,0.019157037,-0.014199182,0.035729248,0.002186321,hold
107,0.008016847,-0.017988956,0.05057832,-0.001259499,0.002731293,0.004168589,0.030120898,-0.024624592,0.03309031,0.021991182,hold
108,0.11176862,-0.12987763,-0.018144913,0.036985278,-0.026995819,-0.0961119,-0.04301499,-0.001853595,-0.029412769,-0.07815405,hold
109,-0.010649389,1.88E-05,0.032151826,-0.011373202,0.042373292,0.014225751,-0.075661786,-0.057286642,0.08109816,0.059459575,hold
110,0.04283287,-0.005561153,0.041356683,0.03135542,-0.029065263,-0.030157087,-0.06613645,-0.036831833,-0.028687347,0.025410468,hold
111,0.082857296,-0.08836681,-0.032427542,0.2143323,0.0302289,0.003920449,0.011001636,-0.09421986,-0.010708248,0.005696107,hold
112,0.1259366,-0.083682775,0.05992581,0.054571733,0.002828861,-0.029910028,-0.06889958,-0.016339531,-0.07991638,-0.004423882,hold
113,0.081388734,-0.014864102,0.038813546,0.0751995,0.02582379,0.04273342,-0.050722234,-0.039560188,-0.051451158,-0.003760085,hold
114,0.014702572,-0.05085782,0.01882976,-0.018824749,0.04338481,0.038440153,-0.041163743,0.048904255,0.015823124,0.03361537,hold
115,0.12350427,-0.014121647,-0.024075963,0.005748077,-0.0306564,0.044092055,-0.046332248,0.000105875,0.066968784,-0.021190317,hold
116,0.1528132,-0.02419463,0.037328314,0.048541766,0.001558367,0.015586554,-0.115260154,-0.058329728,-0.029571973,0.02923147,hold
117,0.046107583,0.03424748,0.035071,-0.008559636,0.013854585,-0.004294196,0.01372556,-0.018119292,0.031869322,-0.008809133,hold
118,0.039315164,0.035214722,-0.039175194,0.013375687,0.03052973,-0.020964006,-0.015535559,0.03605722,-0.011350205,-0.019435894,hold
119,0.07907313,-0.032033063,0.07114837,0.07670516,-0.008431667,-0.014451532,-0.07764782,-0.047771927,-0.01000726,0.050433252,hold
120,0.1187006,-0.014922084,0.10392565,0.12464947,-0.061494764,0.053187065,-0.051140044,0.015676524,-0.07521535,-0.064228795,hold
121,0.12708782,-0.019155698,0.012131303,0.03277957,0.058996163,0.037862256,-0.10183397,0.018954804,-0.04212514,0.062151577,hold
122,-0.048928756,-0.019882094,-0.012203416,-0.038225688,0.008802257,0.031266015,-0.003963946,-0.04821846,0.004498316,-0.001928665,hold
123,0.09683189,0.000500693,0.060003757,0.09176477,-0.000383476,-0.002943197,0.003059099,0.01112188,0.021801282,-0.004367702,hold
124,0.022143528,-0.04212354,-0.001866793,0.097721495,0.050850324,0.038359027,-0.047504373,-0.012284797,-0.039475616,0.04848657,hold
125,0.088078685,-0.01582821,0.020451456,0.024739621,-0.044033274,0.010412859,-0.0724629,-0.026370706,0.005273036,-0.034021813,hold
